#1 : frequency[Hz] = 3.00000e+09
  No.  No.     X[m]        Y[m]        Z[m]      E[V/m]     Ex[V/m]   Ex[deg]   Ey[V/m]   Ey[deg]   Ez[V/m]   Ez[deg]
    2   15  -1.300e-01   0.000e+00   0.000e+00  1.000e+00  6.123e-17   71.676  0.000e+00    0.000  1.000e+00 -108.324
    2   16  -1.300e-01   1.000e-02   0.000e+00  1.000e+00  6.123e-17   71.676  0.000e+00    0.000  1.000e+00 -108.324
    2   17  -1.300e-01   2.000e-02   0.000e+00  1.000e+00  6.123e-17   71.676  0.000e+00    0.000  1.000e+00 -108.324
    2   18  -1.300e-01   3.000e-02   0.000e+00  1.000e+00  6.123e-17   71.676  0.000e+00    0.000  1.000e+00 -108.324
    2   19  -1.300e-01   4.000e-02   0.000e+00  1.000e+00  6.123e-17   71.676  0.000e+00    0.000  1.000e+00 -108.324
    2   20  -1.300e-01   5.000e-02   0.000e+00  1.000e+00  6.123e-17   71.676  0.000e+00    0.000  1.000e+00 -108.324
    2   21  -1.300e-01   6.000e-02   0.000e+00  1.000e+00  6.123e-17   71.676  0.000e+00    0.000  1.000e+00 -108.324
    2   22  -1.300e-01   7.000e-02   0.000e+00  1.000e+00  6.123e-17   71.676  0.000e+00    0.000  1.000e+00 -108.324
    2   23  -1.300e-01   8.000e-02   0.000e+00  1.000e+00  6.123e-17   71.676  0.000e+00    0.000  1.000e+00 -108.324
    2   24  -1.300e-01   9.000e-02   0.000e+00  1.000e+00  6.123e-17   71.676  0.000e+00    0.000  1.000e+00 -108.324
    2   25  -1.300e-01   1.000e-01   0.000e+00  1.000e+00  6.123e-17   71.676  0.000e+00    0.000  1.000e+00 -108.324
    2   26  -1.300e-01   1.100e-01   0.000e+00  1.000e+00  6.123e-17   71.676  0.000e+00    0.000  1.000e+00 -108.324
    2   27  -1.300e-01   1.200e-01   0.000e+00  1.000e+00  6.123e-17   71.676  0.000e+00    0.000  1.000e+00 -108.324
    2   28  -1.300e-01   1.300e-01   0.000e+00  1.000e+00  6.123e-17   71.676  0.000e+00    0.000  1.000e+00 -108.324
