#1 : frequency[Hz] = 3.00000e+09
  No.  No.     X[m]        Y[m]        Z[m]      E[V/m]     Ex[V/m]   Ex[deg]   Ey[V/m]   Ey[deg]   Ez[V/m]   Ez[deg]
    3   26  -1.200e-01   1.100e-01   0.000e+00  4.467e-01  3.056e-18   -9.098  3.722e-17  -73.981  4.467e-01   76.247
    3   27  -1.200e-01   1.200e-01   0.000e+00  4.492e-01  7.272e-18  -66.946  3.503e-17  -85.513  4.492e-01   59.890
    3   28  -1.200e-01   1.300e-01   0.000e+00  4.648e-01  1.423e-17  -96.169  3.103e-17 -101.800  4.648e-01   44.858
    3   29  -1.200e-01   1.400e-01   0.000e+00  4.744e-01  2.203e-17 -116.621  2.643e-17 -125.614  4.744e-01   31.920
    3   30  -1.200e-01   1.500e-01   0.000e+00  4.598e-01  2.872e-17 -134.463  2.610e-17 -156.501  4.598e-01   20.753
    4    0  -1.100e-01  -1.500e-01   0.000e+00  4.646e-01  3.493e-17 -109.243  2.703e-17   48.778  4.646e-01   50.348
    4    1  -1.100e-01  -1.400e-01   0.000e+00  4.858e-01  2.853e-17  -87.563  2.720e-17   81.131  4.858e-01   62.055
    4    2  -1.100e-01  -1.300e-01   0.000e+00  4.811e-01  2.082e-17  -61.795  3.234e-17  106.552  4.811e-01   75.711
    4    3  -1.100e-01  -1.200e-01   0.000e+00  4.692e-01  1.415e-17  -27.977  3.720e-17  124.649  4.692e-01   91.626
    4    4  -1.100e-01  -1.100e-01   0.000e+00  4.698e-01  1.002e-17   14.130  4.018e-17  138.229  4.698e-01  108.950
    4    5  -1.100e-01  -1.000e-01   0.000e+00  4.951e-01  7.314e-18   57.155  4.103e-17  148.759  4.951e-01  125.466
    4    6  -1.100e-01  -9.000e-02   0.000e+00  5.452e-01  4.301e-18  110.765  4.031e-17  156.632  5.452e-01  139.019
    4    7  -1.100e-01  -8.000e-02   0.000e+00  6.132e-01  4.630e-18 -154.042  3.898e-17  161.702  6.132e-01  148.907
    4    8  -1.100e-01  -7.000e-02   0.000e+00  6.928e-01  9.134e-18 -109.377  3.802e-17  163.893  6.928e-01  155.621
    4    9  -1.100e-01  -6.000e-02   0.000e+00  7.807e-01  1.225e-17  -86.101  3.789e-17  163.797  7.807e-01  160.033
    4   10  -1.100e-01  -5.000e-02   0.000e+00  8.740e-01  1.165e-17  -64.044  3.813e-17  162.609  8.740e-01  162.939
    4   11  -1.100e-01  -4.000e-02   0.000e+00  9.684e-01  8.100e-18  -21.906  3.726e-17  161.342  9.684e-01  164.905
    4   12  -1.100e-01  -3.000e-02   0.000e+00  1.057e+00  1.110e-17   49.341  3.346e-17  160.399  1.057e+00  166.266
    4   13  -1.100e-01  -2.000e-02   0.000e+00  1.130e+00  2.123e-17   76.294  2.563e-17  159.807  1.130e+00  167.183
    4   14  -1.100e-01  -1.000e-02   0.000e+00  1.178e+00  3.001e-17   85.013  1.398e-17  159.492  1.178e+00  167.721
    4   15  -1.100e-01   0.000e+00   0.000e+00  1.195e+00  3.338e-17   87.279  0.000e+00    0.000  1.195e+00  167.899
    4   16  -1.100e-01   1.000e-02   0.000e+00  1.178e+00  3.001e-17   85.013  1.398e-17  -20.508  1.178e+00  167.721
    4   17  -1.100e-01   2.000e-02   0.000e+00  1.130e+00  2.123e-17   76.294  2.563e-17  -20.193  1.130e+00  167.183
    4   18  -1.100e-01   3.000e-02   0.000e+00  1.057e+00  1.110e-17   49.341  3.346e-17  -19.601  1.057e+00  166.266
    4   19  -1.100e-01   4.000e-02   0.000e+00  9.684e-01  8.100e-18  -21.906  3.726e-17  -18.658  9.684e-01  164.905
    4   20  -1.100e-01   5.000e-02   0.000e+00  8.740e-01  1.165e-17  -64.044  3.813e-17  -17.391  8.740e-01  162.939
    4   21  -1.100e-01   6.000e-02   0.000e+00  7.807e-01  1.225e-17  -86.101  3.789e-17  -16.203  7.807e-01  160.033
    4   22  -1.100e-01   7.000e-02   0.000e+00  6.928e-01  9.134e-18 -109.377  3.802e-17  -16.107  6.928e-01  155.621
    4   23  -1.100e-01   8.000e-02   0.000e+00  6.132e-01  4.630e-18 -154.042  3.898e-17  -18.298  6.132e-01  148.907
    4   24  -1.100e-01   9.000e-02   0.000e+00  5.452e-01  4.301e-18  110.765  4.031e-17  -23.368  5.452e-01  139.019
    4   25  -1.100e-01   1.000e-01   0.000e+00  4.951e-01  7.314e-18   57.155  4.103e-17  -31.241  4.951e-01  125.466
    4   26  -1.100e-01   1.100e-01   0.000e+00  4.698e-01  1.002e-17   14.130  4.018e-17  -41.771  4.698e-01  108.950
    4   27  -1.100e-01   1.200e-01   0.000e+00  4.692e-01  1.415e-17  -27.977  3.720e-17  -55.351  4.692e-01   91.626
    4   28  -1.100e-01   1.300e-01   0.000e+00  4.811e-01  2.082e-17  -61.795  3.234e-17  -73.448  4.811e-01   75.711
    4   29  -1.100e-01   1.400e-01   0.000e+00  4.858e-01  2.853e-17  -87.563  2.720e-17  -98.869  4.858e-01   62.055
    4   30  -1.100e-01   1.500e-01   0.000e+00  4.646e-01  3.493e-17 -109.243  2.703e-17 -131.222  4.646e-01   50.348
    5    0  -1.000e-01  -1.500e-01   0.000e+00  4.693e-01  4.078e-17  -87.411  2.728e-17   73.071  4.693e-01   77.703
    5    1  -1.000e-01  -1.400e-01   0.000e+00  4.953e-01  3.560e-17  -63.442  2.739e-17  106.656  4.953e-01   90.094
    5    2  -1.000e-01  -1.300e-01   0.000e+00  4.941e-01  2.883e-17  -35.967  3.302e-17  133.288  4.941e-01  104.635
